Time                        SOD  RA_poshist Dec_poshist R_poshist   RA_sf   Dec_sf         R_sf  Delta_epoch Delta_R
2024-07-03 14:29:00   52140.940   24.4751 -24.5679    6890.5107   24.4819 -24.5634    6890.6794 -0.28      0.933
2024-07-03 14:32:20   52340.940   38.0333 -22.2440    6891.7603   38.0390 -22.2391    6891.9068 -0.27      0.873
2024-07-03 14:35:40   52540.940   51.0479 -18.8400    6892.9916   51.0526 -18.8350    6893.1075 -0.27      0.813
2024-07-03 14:39:00   52740.940   63.4808 -14.5732    6894.1217   63.4849 -14.5685    6894.2056 -0.27      0.754
2024-07-03 14:42:20   52940.940   75.4063  -9.6772    6895.0734   75.4102  -9.6729    6895.1295 -0.27      0.701
2024-07-03 14:45:40   53140.940   86.9743  -4.3834    6895.7942   86.9782  -4.3795    6895.8188 -0.26      0.663
2024-07-03 14:49:00   53340.940   98.3756   1.0849    6896.2317   98.3798   1.0883    6896.2302 -0.26      0.648
2024-07-03 14:52:20   53540.940  109.8168   6.5097    6896.3766  109.8216   6.5124    6896.3414 -0.26      0.658
2024-07-03 14:55:40   53740.940  121.5010  11.6716    6896.2186  121.5065  11.6736    6896.1529 -0.26      0.691
2024-07-03 14:59:00   53940.940  133.6060  16.3447    6895.7778  133.6123  16.3459    6895.6866 -0.26      0.746
2024-07-03 15:02:20   54140.940  146.2563  20.2962    6895.0917  146.2634  20.2964    6894.9826 -0.25      0.808
2024-07-03 15:05:40   54340.940  159.4860  23.2969    6894.2137  159.4938  23.2960    6894.0936 -0.25      0.879
2024-07-03 15:09:00   54540.940  173.2063  25.1450    6893.1899  173.2146  25.1429    6893.0791 -0.25      0.947
2024-07-03 15:12:20   54740.940  187.2011  25.7010    6892.0971  187.2097  25.6977    6891.9992 -0.25      1.013
2024-07-03 15:15:40   54940.940  201.1742  24.9195    6890.9840  201.1827  24.9151    6890.9096 -0.24      1.071
2024-07-03 15:19:00   55140.940  214.8364  22.8612    6889.9112  214.8447  22.8558    6889.8585 -0.24      1.118
2024-07-03 15:22:20   55340.940  227.9898  19.6770    6888.9117  227.9977  19.6710    6888.8846 -0.24      1.154
2024-07-03 15:25:40   55540.940  240.5659  15.5754    6888.0145  240.5735  15.5689    6888.0181 -0.24      1.173
2024-07-03 15:29:00   55740.940  252.6156  10.7881    6887.2490  252.6229  10.7816    6887.2821 -0.23      1.171
2024-07-03 15:32:20   55940.940  264.2742   5.5489    6886.6443  264.2814   5.5426    6886.6954 -0.23      1.148
2024-07-03 15:35:40   56140.940  275.7259   0.0845    6886.1969  275.7330   0.0788    6886.2745 -0.23      1.102
2024-07-03 15:39:00   56340.940  287.1756  -5.3838    6885.9255  287.1826  -5.3887    6886.0356 -0.23      1.040
2024-07-03 15:42:20   56540.940  298.8288 -10.6347    6885.8489  298.8358 -10.6387    6885.9942 -0.23      0.967
2024-07-03 15:45:40   56740.940  310.8706 -15.4413    6885.9846  310.8775 -15.4440    6886.1635 -0.22      0.889
2024-07-03 15:49:00   56940.940  323.4385 -19.5691    6886.3466  323.4452 -19.5705    6886.5522 -0.22      0.806
2024-07-03 15:52:20   57140.940  336.5864 -22.7851    6886.9288  336.5925 -22.7852    6887.1599 -0.22      0.722
2024-07-03 15:55:40   57340.940  350.2489 -24.8788    6887.7243  350.2543 -24.8778    6887.9743 -0.22      0.644
2024-07-03 15:59:00   57540.940    4.2305 -25.6965    6888.7059    4.2347 -25.6945    6888.9681 -0.21      0.573
2024-07-03 16:02:20   57740.940   18.2421 -25.1743    6889.8407   18.2450 -25.1718    6890.0979 -0.21      0.510
2024-07-03 16:05:40   57940.940   31.9849 -23.3553    6891.0640   31.9865 -23.3525    6891.3057 -0.21      0.454
2024-07-03 16:09:00   58140.940   45.2392 -20.3777    6892.3089   45.2396 -20.3748    6892.5220 -0.21      0.404
2024-07-03 16:12:20   58340.940   57.9120 -16.4429    6893.4931   57.9117 -16.4403    6893.6718 -0.20      0.360
2024-07-03 16:15:40   58540.940   70.0351 -11.7810    6894.5506   70.0342 -11.7787    6894.6807 -0.20      0.315
2024-07-03 16:19:00   58740.940   81.7313  -6.6255    6895.4041   81.7302  -6.6237    6895.4827 -0.20      0.267
2024-07-03 16:22:20   58940.940   93.1779  -1.2034    6895.9998   93.1768  -1.2020    6896.0261 -0.20      0.217
2024-07-03 16:25:40   59140.940  104.5776   4.2659    6896.3017  104.5767   4.2669    6896.2792 -0.20      0.166
2024-07-03 16:29:00   59340.940  116.1371   9.5643    6896.2896  116.1366   9.5650    6896.2322 -0.19      0.119
2024-07-03 16:32:20   59540.940  128.0476  14.4690    6896.0052  128.0478  14.4695    6895.8973 -0.19      0.124
2024-07-03 16:35:40   59740.940  140.4601  18.7497    6895.4593  140.4611  18.7499    6895.3069 -0.19      0.189
2024-07-03 16:39:00   59940.940  153.4509  22.1736    6894.6849  153.4528  22.1733    6894.5079 -0.19      0.272
2024-07-03 16:42:20   60140.940  166.9854  24.5237    6893.7664  166.9881  24.5228    6893.5570 -0.18      0.380
2024-07-03 16:45:40   60340.940  180.8980  25.6301    6892.7282  180.9016  25.6286    6892.5137 -0.18      0.477
2024-07-03 16:49:00   60540.940  194.9173  25.4054    6891.6445  194.9213  25.4031    6891.4354 -0.18      0.556
2024-07-03 16:52:20   60740.940  208.7390  23.8662    6890.5620  208.7436  23.8631    6890.3728 -0.18      0.656
2024-07-03 16:55:40   60940.940  222.1200  21.1293    6889.5268  222.1249  21.1255    6889.3683 -0.17      0.733
2024-07-03 16:59:00   61140.940  234.9363  17.3835    6888.5755  234.9414  17.3790    6888.4552 -0.17      0.804
2024-07-03 17:02:20   61340.940  247.1925  12.8542    6887.7371  247.1978  12.8493    6887.6592 -0.17      0.857
2024-07-03 17:05:40   61540.940  258.9935   7.7761    6887.0328  258.9990   7.7710    6887.0007 -0.17      0.895
2024-07-03 17:09:00   61740.940  270.5069   2.3792    6886.4862  270.5125   2.3741    6886.4974 -0.17      0.907
2024-07-03 17:12:20   61940.940  281.9316  -3.1137    6886.1186  281.9373  -3.1185    6886.1660 -0.16      0.896
2024-07-03 17:15:40   62140.940  293.4753  -8.4822    6885.9346  293.4811  -8.4865    6886.0229 -0.16      0.864
2024-07-03 17:19:00   62340.940  305.3345 -13.5021    6885.9621  305.3403 -13.5056    6886.0837 -0.16      0.808
2024-07-03 17:22:20   62540.940  317.6703 -17.9418    6886.2003  317.6760 -17.9445    6886.3601 -0.16      0.747
2024-07-03 17:25:40   62740.940  330.5762 -21.5658    6886.6605  330.5816 -21.5676    6886.8571 -0.15      0.671
2024-07-03 17:29:00   62940.940  344.0404 -24.1508    6887.3464  344.0451 -24.1518    6887.5687 -0.15      0.582
2024-07-03 17:32:20   63140.940  357.9200 -25.5148    6888.2368  357.9239 -25.5151    6888.4749 -0.15      0.490
2024-07-03 17:35:40   63340.940   11.9571 -25.5530    6889.2868   11.9600 -25.5528    6889.5400 -0.15      0.402
2024-07-03 17:39:00   63540.940   25.8453 -24.2636    6890.4577   25.8470 -24.2631    6890.7124 -0.14      0.324
2024-07-03 17:42:20   63740.940   39.3228 -21.7480    6891.6881   39.3235 -21.7475    6891.9273 -0.14      0.260
2024-07-03 17:45:40   63940.940   52.2415 -18.1859    6892.8951   52.2413 -18.1854    6893.1117 -0.14      0.225
2024-07-03 17:49:00   64140.940   64.5840 -13.7990    6894.0064   64.5831 -13.7988    6894.1901 -0.14      0.214
2024-07-03 17:52:20   64340.940   76.4397  -8.8217    6894.9599   76.4383  -8.8216    6895.0921 -0.14      0.212
2024-07-03 17:55:40   64540.940   87.9673  -3.4840    6895.6719   87.9656  -3.4841    6895.7589 -0.13      0.223
2024-07-03 17:59:00   64740.940   99.3617   1.9919    6896.1169   99.3598   1.9917    6896.1496 -0.13      0.225
2024-07-03 18:02:20   64940.940  110.8303   7.3880    6896.2656  110.8285   7.3879    6896.2443 -0.13      0.221
2024-07-03 18:05:40   65140.940  122.5734  12.4844    6896.1136  122.5718  12.4844    6896.0455 -0.13      0.203
2024-07-03 18:09:00   65340.940  134.7623  17.0536    6895.6860  134.7610  17.0538    6895.5767 -0.12      0.183
2024-07-03 18:12:20   65540.940  147.5089  20.8624    6895.0345  147.5083  20.8629    6894.8784 -0.12      0.180
2024-07-03 18:15:40   65740.940  160.8290  23.6844    6894.1947  160.8292  23.6849    6894.0030 -0.12      0.204
2024-07-03 18:19:00   65940.940  174.6116  25.3256    6893.2282  174.6128  25.3261    6893.0087 -0.12      0.258
2024-07-03 18:22:20   66140.940  188.6230  25.6605    6892.1929  188.6251  25.6606    6891.9533 -0.11      0.335
2024-07-03 18:25:40   66340.940  202.5615  24.6610    6891.1313  202.5646  24.6606    6890.8901 -0.11      0.418
2024-07-03 18:29:00   66540.940  216.1485  22.4045    6890.0975  216.1524  22.4035    6889.8647 -0.11      0.502
2024-07-03 18:32:20   66740.940  229.2063  19.0540    6889.1237  229.2108  19.0523    6888.9134 -0.11      0.586
2024-07-03 18:35:40   66940.940  241.6880  14.8238    6888.2409  241.6929  14.8213    6888.0649 -0.11      0.666
2024-07-03 18:39:00   67140.940  253.6612   9.9469    6887.4696  253.6663   9.9438    6887.3414 -0.10      0.726
2024-07-03 18:42:20   67340.940  265.2713   4.6562    6886.8347  265.2767   4.6526    6886.7618 -0.10      0.779
2024-07-03 18:45:40   67540.940  276.7075  -0.8229    6886.3674  276.7132  -0.8267    6886.3435 -0.10      0.817
2024-07-03 18:49:00   67740.940  288.1762  -6.2698    6886.0824  288.1821  -6.2736    6886.1037 -0.10      0.834
2024-07-03 18:52:20   67940.940  299.8811 -11.4626    6885.9940  299.8871 -11.4661    6886.0592 -0.09      0.828
2024-07-03 18:55:40   68140.940  312.0015 -16.1729    6886.1246  312.0076 -16.1760    6886.2248 -0.09      0.802
2024-07-03 18:59:00   68340.940  324.6636 -20.1658    6886.4913  324.6697 -20.1683    6886.6095 -0.09      0.761
2024-07-03 19:02:20   68540.940  337.9040 -23.2099    6887.0785  337.9099 -23.2118    6887.2134 -0.09      0.708
2024-07-03 19:05:40   68740.940  351.6355 -25.1017    6887.8780  351.6411 -25.1030    6888.0238 -0.08      0.647
2024-07-03 19:09:00   68940.940    5.6432 -25.7001    6888.8670    5.6483 -25.7009    6889.0123 -0.08      0.581
2024-07-03 19:12:20   69140.940   19.6298 -24.9585    6889.9859   19.6343 -24.9589    6890.1346 -0.08      0.514
2024-07-03 19:15:40   69340.940   33.3043 -22.9369    6891.1899   33.3081 -22.9371    6891.3316 -0.08      0.448
2024-07-03 19:19:00   69540.940   46.4657 -19.7866    6892.4027   46.4690 -19.7867    6892.5335 -0.08      0.389
2024-07-03 19:22:20   69740.940   59.0434 -15.7160    6893.5489   59.0461 -15.7160    6893.6650 -0.07      0.337
2024-07-03 19:25:40   69940.940   71.0863 -10.9568    6894.5566   71.0886 -10.9568    6894.6529 -0.07      0.291
2024-07-03 19:29:00   70140.940   82.7288  -5.7422    6895.3650   82.7309  -5.7422    6895.4325 -0.07      0.255
2024-07-03 19:32:20   70340.940   94.1541  -0.2975    6895.9212   94.1559  -0.2974    6895.9544 -0.07      0.228
2024-07-03 19:35:40   70540.940  105.5667   5.1584    6896.1816  105.5685   5.1586    6896.1891 -0.06      0.219
2024-07-03 19:39:00   70740.940  117.1724  10.4071    6896.1492  117.1742  10.4075    6896.1291 -0.06      0.226
2024-07-03 19:42:20   70940.940  129.1575  15.2245    6895.8391  129.1595  15.2252    6895.7884 -0.06      0.253
2024-07-03 19:45:40   71140.940  141.6632  19.3793    6895.2768  141.6656  19.3801    6895.2002 -0.06      0.292
2024-07-03 19:49:00   71340.940  154.7499  22.6394    6894.5001  154.7527  22.6404    6894.4117 -0.05      0.346
2024-07-03 19:52:20   71540.940  168.3616  24.7935    6893.5921  168.3650  24.7946    6893.4783 -0.05      0.415
2024-07-03 19:55:40   71740.940  182.3121  25.6831    6892.5846  182.3163  25.6841    6892.4579 -0.05      0.483
2024-07-03 19:59:00   71940.940  196.3185  25.2371    6891.5394  196.3233  25.2378    6891.4053 -0.05      0.547
2024-07-03 20:02:20   72140.940  210.0809  23.4898    6890.5045  210.0863  23.4900    6890.3688 -0.05      0.608
2024-07-03 20:05:40   72340.940  223.3729  20.5722    6889.5194  223.3787  20.5718    6889.3883 -0.04      0.665
2024-07-03 20:09:00   72540.940  236.0928  16.6815    6888.6268  236.0988  16.6804    6888.4951 -0.04      0.719
2024-07-03 20:12:20   72740.940  248.2640  12.0461    6887.8241  248.2702  12.0444    6887.7138 -0.04      0.766
2024-07-03 20:15:40   72940.940  260.0045   6.9004    6887.1421  260.0108   6.8983    6887.0644 -0.04      0.797
2024-07-03 20:19:00   73140.940  271.4886   1.4731    6886.6219  271.4950   1.4706    6886.5652 -0.03      0.832
2024-07-03 20:22:20   73340.940  282.9183  -4.0137    6886.2557  282.9248  -4.0165    6886.2340 -0.03      0.852
2024-07-03 20:25:40   73540.940  294.5006  -9.3396    6886.0781  294.5073  -9.3425    6886.0886 -0.03      0.866
2024-07-03 20:29:00   73740.940  306.4281 -14.2795    6886.1105  306.4349 -14.2823    6886.1457 -0.03      0.869
2024-07-03 20:32:20   73940.940  318.8532 -18.6006    6886.3609  318.8603 -18.6031    6886.4182 -0.02      0.864
2024-07-03 20:35:40   74140.940  331.8547 -22.0681    6886.8411  331.8620 -22.0700    6886.9114 -0.02      0.848
2024-07-03 20:39:00   74340.940  345.4001 -24.4629    6887.5464  345.4075 -24.4641    6887.6191 -0.02      0.825
2024-07-03 20:42:20   74540.940  359.3254 -25.6133    6888.4504  359.3327 -25.6139    6888.5208 -0.02      0.798
2024-07-03 20:45:40   74740.940   13.3587 -25.4303    6889.5122   13.3658 -25.4303    6889.5796 -0.01      0.768
2024-07-03 20:49:00   74940.940   27.1948 -23.9296    6890.6881   27.2014 -23.9292    6890.7428 -0.01      0.737
2024-07-03 20:52:20   75140.940   40.5869 -21.2279    6891.9009   40.5932 -21.2272    6891.9451 -0.01      0.712
2024-07-03 20:55:40   75340.940   53.4088 -17.5141    6893.0786   53.4147 -17.5132    6893.1130 -0.01      0.690
2024-07-03 20:59:00   75540.940   65.6628 -13.0139    6894.1411   65.6685 -13.0128    6894.1716 -0.01      0.675
2024-07-03 21:02:20   75740.940   77.4525  -7.9615    6895.0226   77.4579  -7.9603    6895.0517 -0.00      0.666
2024-07-03 21:05:40   75940.940   88.9444  -2.5858    6895.6798   88.9498  -2.5846    6895.6965 -0.00      0.660
2024-07-03 21:09:00   76140.940  100.3371   2.8920    6896.0515  100.3424   2.8933    6896.0673  0.00      0.658
2024-07-03 21:12:20   76340.940  111.8380   8.2543    6896.1307  111.8434   8.2555    6896.1467  0.00      0.661
2024-07-03 21:15:40   76540.940  123.6443  13.2798    6895.9312  123.6498  13.2810    6895.9390  0.01      0.665
2024-07-03 21:19:00   76740.940  135.9199  17.7400    6895.4726  135.9257  17.7412    6895.4690  0.01      0.671
2024-07-03 21:22:20   76940.940  148.7636  21.4015    6894.7910  148.7696  21.4025    6894.7777  0.01      0.679
2024-07-03 21:25:40   77140.940  162.1716  24.0408    6893.9289  162.1778  24.0416    6893.9170  0.01      0.692
2024-07-03 21:29:00   77340.940  176.0112  25.4729    6892.9583  176.0177  25.4735    6892.9434  0.02      0.712
2024-07-03 21:32:20   77540.940  190.0321  25.5866    6891.9342  190.0389  25.5869    6891.9128  0.02      0.738
2024-07-03 21:35:40   77740.940  203.9301  24.3717    6890.9110  203.9370  24.3716    6890.8758  0.02      0.763
2024-07-03 21:39:00   77940.940  217.4386  21.9216    6889.9179  217.4457  21.9211    6889.8752  0.02      0.790
2024-07-03 21:42:20   78140.940  230.4012  18.4105    6888.9937  230.4083  18.4095    6888.9456  0.02      0.814
2024-07-03 21:45:40   78340.940  242.7917  14.0574    6888.1765  242.7987  14.0560    6888.1138  0.03      0.836
2024-07-03 21:49:00   78540.940  254.6932   9.0965    6887.4532  254.7001   9.0948    6887.4016  0.03      0.854
2024-07-03 21:52:20   78740.940  266.2605   3.7593    6886.9368  266.2676   3.7574    6886.8280  0.03      0.880
2024-07-03 21:55:40   78940.940  277.6875  -1.7293    6886.4530  277.6946  -1.7316    6886.4172 -0.03      0.903
2024-07-03 21:59:00   79140.940  289.1811  -7.1494    6886.1959  289.1884  -7.1519    6886.1757 -0.03      0.915
2024-07-03 22:02:20   79340.940  300.9427 -12.2784    6886.1402  300.9502 -12.2808    6886.1275 -0.03      0.925
2024-07-03 22:05:40   79540.940  313.1451 -16.8866    6886.2955  313.1529 -16.8888    6886.2885 -0.03      0.934
2024-07-03 22:09:00   79740.940  325.9026 -20.7387    6886.6688  325.9107 -20.7405    6886.6685 -0.02      0.942
2024-07-03 22:12:20   79940.940  339.2330 -23.6059    6887.2618  339.2415 -23.6072    6887.2677 -0.02      0.949
2024-07-03 22:15:40   80140.940  353.0275 -25.2926    6888.0549  353.0363 -25.2931    6888.0727 -0.02      0.956
2024-07-03 22:19:00   80340.940    7.0531 -25.6710    6889.0446    7.0619 -25.6708    6889.0546 -0.02      0.960
2024-07-03 22:22:20   80540.940   21.0069 -24.7121    6890.1588   21.0156 -24.7111    6890.1679 -0.01      0.961
2024-07-03 22:25:40   80740.940   34.6077 -22.4925    6891.3497   34.6162 -22.4909    6891.3526 -0.01      0.960
2024-07-03 22:29:00   80940.940   47.6748 -19.1753    6892.5372   47.6829 -19.1733    6892.5386 -0.01      0.955
2024-07-03 22:32:20   81140.940   60.1586 -14.9750    6893.6511   60.1664 -14.9727    6893.6507 -0.01      0.950
2024-07-03 22:35:40   81340.940   72.1251 -10.1248    6894.6114   72.1326 -10.1222    6894.6167 -0.00      0.944
2024-07-03 22:39:00   81540.940   83.7187  -4.8566    6895.3635   83.7261  -4.8540    6895.3737 -0.00      0.940
2024-07-03 22:42:20   81740.940   95.1279   0.6054    6895.8866   95.1353   0.6079    6895.8745  0.00      0.941
2024-07-03 22:45:40   81940.940  106.5587   6.0426    6896.0745  106.5662   6.0451    6896.0918  0.00      0.941
2024-07-03 22:49:00   82140.940  118.2152  11.2364    6895.9949  118.2228  11.2386    6896.0203  0.00      0.936
2024-07-03 22:52:20   82340.940  130.2785  15.9612    6895.6348  130.2862  15.9631    6895.6757  0.01      0.929
2024-07-03 22:55:40   82540.940  142.8788  19.9846    6895.0500  142.8868  19.9862    6895.0920  0.01      0.923
2024-07-03 22:59:00   82740.940  156.0596  23.0765    6894.2729  156.0678  23.0775    6894.3161  0.01      0.918
2024-07-03 23:02:20   82940.940  169.7436  25.0315    6893.3597  169.7520  25.0319    6893.4023  0.01      0.911
2024-07-03 23:05:40   83140.940  183.7249  25.7033    6892.3626  183.7332  25.7032    6892.4064  0.02      0.904
2024-07-03 23:09:00   83340.940  197.7108  25.0375    6891.3445  197.7191  25.0369    6891.3809  0.02      0.902
2024-07-03 23:12:20   83540.940  211.4083  23.0860    6890.3490  211.4165  23.0849    6890.3713  0.02      0.911
2024-07-03 23:15:40   83740.940  224.6093  19.9930    6889.4084  224.6172  19.9915    6889.4151  0.02      0.916
2024-07-03 23:19:00   83940.940  237.2339  15.9633    6888.5546  237.2416  15.9614    6888.5417  0.03      0.925
2024-07-03 23:22:20   84140.940  249.3237  11.2277    6887.8014  249.3313  11.2255    6887.7746  0.03      0.934
2024-07-03 23:25:40   84340.940  261.0084   6.0201    6887.1758  261.0160   6.0176    6887.1339  0.03      0.953
2024-07-03 23:29:00   84540.940  272.4688   0.5678    6886.6947  272.4765   0.5652    6886.6381  0.03      0.977
2024-07-03 23:32:20   84740.940  283.9090  -4.9077    6886.3729  283.9168  -4.9104    6886.3064  0.03      1.001
2024-07-03 23:35:40   84940.940  295.5351 -10.1857    6886.2266  295.5433 -10.1884    6886.1578  0.04      1.028
2024-07-03 23:39:00   85140.940  307.5350 -15.0399    6886.2799  307.5437 -15.0425    6886.2106  0.04      1.058
2024-07-03 23:42:20   85340.940  320.0517 -19.2366    6886.5439  320.0610 -19.2387    6886.4784  0.04      1.089
2024-07-03 23:45:40   85540.940  333.1481 -22.5418    6887.0264  333.1580 -22.5434    6886.9668  0.04      1.120
2024-07-03 23:49:00   85740.940  346.7705 -24.7419    6887.7222  346.7810 -24.7428    6887.6697  0.05      1.150
2024-07-03 23:52:20   85940.940    0.7343 -25.6767    6888.6058    0.7451 -25.6765    6888.5656  0.05      1.176
2024-07-03 23:55:40   86140.940   14.7558 -25.2732    6889.6415   14.7668 -25.2720    6889.6166  0.05      1.200
2024-07-03 23:59:00   86340.940   28.5334 -23.5648    6890.7793   28.5442 -23.5626    6890.7692  0.05      1.218
